,0,1,2,3,4
496,USA-NYC,True,2021-02-27 02:22:10,,
497,USA-VA,True,2021-02-27 02:20:38,,
498,USA-OH,True,2021-02-27 02:17:47,,
499,USA-IN,True,2021-02-27 02:14:39,RTX 3070,
500,USA-FL,True,2021-02-27 02:13:38,,
501,USA,True,2021-02-27 02:11:40,,
502,USA-WA,True,2021-02-27 02:11:26,,
503,USA-NY,True,2021-02-27 02:10:49,,
504,USA-OH,True,2021-02-27 02:03:05,,
505,USA-CA,True,2021-02-27 01:56:51,,
506,USA-TX,True,2021-02-27 01:51:48,,
507,USA-CA,True,2021-02-27 01:51:46,,
508,USA-MS,True,2021-02-27 01:50:31,Units,
509,USA-CA,True,2021-02-27 01:46:12,,
510,USA-CA,True,2021-02-27 01:42:44,,
511,USA-FL,True,2021-02-27 01:42:08,RTX 2070,
512,USA-NM,True,2021-02-27 01:40:23,,
513,USA-OH,True,2021-02-27 01:36:32,,
514,USA-WA,True,2021-02-27 01:33:09,,
515,USA-DC,True,2021-02-27 01:32:51,,
516,USA-CA,True,2021-02-27 01:31:27,GeForce GTX 1070,
517,USA-SC,True,2021-02-27 01:30:58,,
518,USA-CA,True,2021-02-27 01:28:04,RTX 2070,
519,USA-FL,True,2021-02-27 01:27:25,,
520,USA-NJ,True,2021-02-27 01:27:06,,
521,USA-CA,True,2021-02-27 01:26:56,,
522,USA-NC,True,2021-02-27 01:19:25,,
523,USA-TX,True,2021-02-27 01:14:27,,
524,USA-FL,True,2021-02-27 01:11:47,,
525,USA-OH,True,2021-02-27 01:09:59,,
526,USA-IL,True,2021-02-27 01:09:26,,
527,USA-NY,True,2021-02-27 01:09:16,,
528,USA-TX,True,2021-02-27 01:07:01,,
529,USA-IL,True,2021-02-27 01:06:01,,
530,USA-NY,True,2021-02-27 01:05:05,,
531,USA-OH,True,2021-02-27 01:01:39,,
532,USA-GA,True,2021-02-27 00:57:57,,
533,USA-AZ,True,2021-02-27 00:57:49,,
534,USA-VA,True,2021-02-27 00:56:42,,
535,USA-NY,True,2021-02-27 00:55:47,,
536,USA-MI,True,2021-02-27 00:53:51,,
537,USA-CA,True,2021-02-27 00:52:47,,
538,USA-CA,True,2021-02-27 00:51:41,,
539,USA-CA,True,2021-02-27 00:50:48,,
540,USA-CA,True,2021-02-27 00:49:54,,
